epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,636.295,0.30418,0.27073,0.91941,0.68665,0.49599,0.59938,0.40376,1.4447,2.03172,1.80616,0.0002278,0.0002278,0.0002278
80,644.054,0.29603,0.26946,0.91849,0.69928,0.49025,0.58377,0.39117,1.52262,2.0089,1.85024,0.0002179,0.0002179,0.0002179
81,651.845,0.29183,0.26327,0.91161,0.6824,0.50434,0.58571,0.39442,1.46214,1.98582,1.7924,0.000208,0.000208,0.000208
82,659.535,0.30407,0.27725,0.91597,0.69946,0.50943,0.59687,0.40711,1.46797,2.21307,1.82958,0.0001981,0.0001981,0.0001981
83,667.484,0.29065,0.26508,0.91255,0.69299,0.48664,0.58577,0.39487,1.49917,2.12703,1.87486,0.0001882,0.0001882,0.0001882
84,675.571,0.29308,0.26506,0.91421,0.67132,0.49315,0.56004,0.38098,1.48428,2.04043,1.81515,0.0001783,0.0001783,0.0001783
85,683.69,0.2909,0.26136,0.9166,0.67866,0.53927,0.59417,0.40398,1.50371,1.89107,1.85158,0.0001684,0.0001684,0.0001684
86,691.575,0.28971,0.26109,0.91236,0.69563,0.50591,0.59913,0.39762,1.50792,1.89161,1.84579,0.0001585,0.0001585,0.0001585
87,699.409,0.28524,0.2496,0.91282,0.68603,0.48454,0.59687,0.40311,1.52827,2.10005,1.90583,0.0001486,0.0001486,0.0001486
88,707.569,0.28662,0.25229,0.9084,0.66331,0.48325,0.57785,0.39593,1.46884,2.13075,1.83604,0.0001387,0.0001387,0.0001387
89,716.07,0.2886,0.25766,0.91447,0.65474,0.4485,0.56805,0.39447,1.4667,2.22279,1.80466,0.0001288,0.0001288,0.0001288
90,723.832,0.28007,0.25062,0.90904,0.68234,0.46314,0.56346,0.37805,1.51473,2.20403,1.87833,0.0001189,0.0001189,0.0001189
91,732.231,0.20264,0.1819,0.8549,0.68797,0.53118,0.60562,0.4014,1.49469,1.84177,1.86249,0.000109,0.000109,0.000109
92,740.215,0.19643,0.17167,0.84375,0.71815,0.54913,0.6385,0.41965,1.47142,1.77695,1.85387,9.91e-05,9.91e-05,9.91e-05
93,747.899,0.19383,0.16707,0.8482,0.72614,0.48848,0.5817,0.38815,1.51933,2.15141,1.90937,8.92e-05,8.92e-05,8.92e-05
94,755.333,0.19444,0.16575,0.84463,0.71298,0.5028,0.60046,0.39881,1.50925,2.022,1.86702,7.93e-05,7.93e-05,7.93e-05
95,762.769,0.18908,0.16509,0.83564,0.72048,0.5464,0.60791,0.40636,1.49474,1.80324,1.85249,6.94e-05,6.94e-05,6.94e-05
96,770.536,0.1886,0.16204,0.83895,0.72074,0.55954,0.61931,0.40572,1.49905,1.874,1.86856,5.95e-05,5.95e-05,5.95e-05
97,778.218,0.18172,0.16216,0.83634,0.71641,0.55058,0.59155,0.39608,1.49217,1.94993,1.85125,4.96e-05,4.96e-05,4.96e-05
98,785.916,0.18731,0.15791,0.8382,0.72478,0.5187,0.5976,0.40038,1.4973,2.01354,1.85704,3.97e-05,3.97e-05,3.97e-05
99,793.878,0.17786,0.15689,0.83225,0.70231,0.52746,0.60879,0.40871,1.48638,1.95776,1.85678,2.98e-05,2.98e-05,2.98e-05
100,801.636,0.18131,0.15331,0.83411,0.71114,0.52764,0.60753,0.41168,1.48202,1.93006,1.86212,1.99e-05,1.99e-05,1.99e-05
